# listo de falsaj amikoj de http://eo.wikipedia.org/wiki/Listo_de_falsaj_amikoj
# 5 vortoj seperatitaj je \t
#  1- nacia vorto
#  2- vera traduko
#  3- falsa amiko
#  4- vera senco de falsa amiko
(to be) able 	povi, kapabli 	ebli 	to be possible
practice 	ekzerci sin (ekz ludi muzikon) por pliboniĝi 	praktiki 	professionally practice (e.g. law, medicine)
predict 	antaŭdiri, prognozi 	prediki 	preach
prescription (medical) 	preskribo 	preskripto 	legal period of possession
process 	procezo 	proceso 	lawsuit
product (multiplication) 	produto 	produkto 	product (manufactured good)
proper 	taŭga, ĝusta, deca, konvena, bona, ktp 	propra 	own, belonging to one
read 	legi 	ridi 	laugh
refer 	aludi; direkti; referenci; resendi; rilati; submeti 	referi 	make a scholarly report, read a paper
roll (dice) 	ĵeti (ĵetkubojn) 	rolo 	role
roll (bread) 	bulko 	rolo 	role
Roman 	roma (de praa Italio) 	romano 	novel (long fiction)
salt 	salo 	salto 	jump
satisfaction (contentment) 	kontenteco 	satisfakcio 	satisfaction (chance to fight a duel against someone who offended)
sense (meaning, idea) 	senco 	senso 	sense (sight, hearing)
sentence 	frazo; kondamno 	sentenco 	proverb
shat 	fekis 	ŝati 	appreciate
sheep 	ŝafo 	ŝipo 	ship
shoot 	pafi; ŝutilo 	ŝuti 	pour (non-liquid)
soft 	mola (ankaŭ) 	softa (neologismo anstataŭ mallaŭta) 	quiet, soft-spoken, sotto voce
sort 	speco; ordigi 	sorto 	fate
space (character, ASCII 32) 	spaceto 	spaco 	space (3-dimensional)
stall (animal compartment in a stable) 	stalfako, stalofako, stala fako 	stalo 	stable, shed, sty (building for animals, possibly with stalls)
standard 	normo 	standardo 	flag
star 	stelo 	stari 	stand
stage (theater) 	scenejo 	staĝo 	internship, traineeship; short training course
state (country, part of country) 	ŝtato 	stato 	condition
steal 	ŝteli 	stelo 	star
step 	ŝtupo; paŝo 	stepo 	steppe
subject 	temo (de retmesaĝoj) 	subjekto 	grammatical subject
subscribe 	aboni (gazeton, telefonservon, ktp) 	subskribi 	sign (one's name)
subsidy 	subvencio 	subsidi 	subside
suspect (person suspected of crime) 	suspektato 	suspekto 	suspicion
sympathetic 	kunsentema 	simpatia 	likeable
table (list, index, chart) 	tabelo 	tablo 	table (furniture)
tablet 	tabulo (board); pilolo (pill) 	tableto 	small table (tabl-eto)
ten 	dek 	teni 	hold, keep
tend 	varti 	tendo 	tent
tent 	tendo 	tenti 	tempt, seduce
term (technical word, jargon) 	termino 	termo 	term (algebra: part of a sum or difference)
toast (drinka parolo) 	tosto 	toasto 	toast (pano)
train (railroad) 	trajno 	trejni 	coach, teach
train (coach, teach) 	trejni 	trajno 	railroad train
tree 	arbo 	tri 	three
trivial 	bagatela 	triviala 	vulgar, coarse, commonplace
tune (an instrument); melody 	agordi; melodio 	tuno 	ton, tonne
tush (slango) 	pugo 	tuŝi 	touch
UK 	Britio 	UK (Universala Kongreso) 	Esperanto world congress
vain (conceited) 	vanta 	vana 	vain (futile)
veto 	vetoo 	veto 	bet
viola 	aldo, aldviolono 	violo 	violet (flower)
violin 	violono 	violino 	female violet flower (viol-ino)
vote 	voĉdoni al 	voti 	promesi al Dio
whore 	putino 	horo 	hour
